                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.76937,                0.50448,                0.89189,                0.99878,                      1,                  0.995,                0.79265,                0.80273,                0.62725,                0.92223,             0.00017912,             0.00017912,             0.00017912
                     37,                0.71211,                0.49876,                0.90781,                0.99832,                      1,                  0.995,                0.80351,                0.76699,                0.59636,                0.92053,             0.00017235,             0.00017235,             0.00017235
                     38,                0.77605,                0.48767,                0.89667,                0.99832,                      1,                  0.995,                0.80351,                0.76699,                0.59636,                0.92053,             0.00016493,             0.00016493,             0.00016493
                     39,                0.76705,                   0.49,                0.89558,                0.99856,                      1,                  0.995,                0.81323,                 0.7398,                0.55098,                0.91707,             0.00015684,             0.00015684,             0.00015684
                     40,                0.75675,                0.48147,                0.88243,                0.99856,                      1,                  0.995,                0.81323,                 0.7398,                0.55098,                0.91707,              0.0001481,              0.0001481,              0.0001481
                     41,                 0.7262,                0.49659,                0.88588,                0.99944,                      1,                  0.995,                0.82703,                0.71947,                0.50923,                0.91074,             0.00013869,             0.00013869,             0.00013869
                     42,                0.71575,                0.46677,                0.88248,                0.99944,                      1,                  0.995,                0.82703,                0.71947,                0.50923,                0.91074,             0.00012863,             0.00012863,             0.00012863
                     43,                0.71534,                0.46915,                0.90646,                0.99903,                      1,                  0.995,                0.82325,                 0.7412,                0.50157,                0.90677,              0.0001179,              0.0001179,              0.0001179
                     44,                0.70827,                0.46997,                0.90475,                0.99903,                      1,                  0.995,                0.82325,                 0.7412,                0.50157,                0.90677,             0.00010652,             0.00010652,             0.00010652
                     45,                0.69114,                0.46255,                0.88783,                0.99925,                      1,                  0.995,                 0.8098,                0.76992,                0.49568,                 0.9039,             9.4472e-05,             9.4472e-05,             9.4472e-05
                     46,                0.69602,                 0.4674,                0.88256,                0.99925,                      1,                  0.995,                 0.8098,                0.76992,                0.49568,                 0.9039,             8.1766e-05,             8.1766e-05,             8.1766e-05
                     47,                0.73292,                 0.4622,                 0.8825,                0.99919,                      1,                  0.995,                0.81051,                0.76679,                0.48387,                0.89847,               6.84e-05,               6.84e-05,               6.84e-05
                     48,                0.68313,                0.46575,                0.87301,                0.99919,                      1,                  0.995,                0.81051,                0.76679,                0.48387,                0.89847,             5.4374e-05,             5.4374e-05,             5.4374e-05
                     49,                0.65889,                0.44931,                0.87433,                 0.9989,                      1,                  0.995,                0.81536,                0.75809,                0.46989,                0.89467,             3.9688e-05,             3.9688e-05,             3.9688e-05
                     50,                 0.6746,                0.44786,                 0.8865,                 0.9989,                      1,                  0.995,                0.81536,                0.75809,                0.46989,                0.89467,             2.4342e-05,             2.4342e-05,             2.4342e-05
