                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2475,                  3.926,                 2.2057,                      0,                      0,                      0,                      0,                 1.8297,                 3.9365,                 1.5564,                      0,                      0,                      0
                      2,                 3.4357,                 3.9308,                 2.1785,                      0,                      0,                      0,                      0,                 1.7622,                 3.9398,                 1.5431,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 2.6454,                 3.8249,                 1.9626,                      0,                      0,                      0,                      0,                 1.7152,                 3.9385,                 1.5341,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                 3.3481,                 3.9057,                  1.986,                      0,                      0,                      0,                      0,                 1.6461,                 3.9359,                 1.5151,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                 3.1076,                 3.8926,                   2.02,                      0,                      0,                      0,                      0,                 1.6374,                 3.9323,                 1.4977,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                 2.5084,                 3.7668,                 1.8306,                0.00417,                0.00943,                 0.0022,                0.00022,                 1.6649,                 3.9279,                  1.491,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                 2.0973,                 3.7496,                 1.6317,                0.00417,                0.00943,                 0.0022,                0.00022,                 1.6861,                 3.9225,                 1.4853,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                  3.009,                 3.8526,                 1.7462,                0.00417,                0.00943,                 0.0022,                0.00022,                 1.7548,                 3.9135,                 1.4767,              0.0001086,              0.0001086,              0.0001086
                      9,                 2.4028,                  3.802,                 1.5408,                0.00286,                0.01351,                0.00147,                0.00132,                 1.8988,                 3.8897,                 1.4632,              0.0001228,              0.0001228,              0.0001228
                     10,                 2.0367,                 3.7081,                 1.5139,                0.01068,                0.03238,                 0.0058,                0.00164,                 2.0221,                 3.8435,                 1.4233,             0.00013666,             0.00013666,             0.00013666
                     11,                 1.7433,                 3.5682,                 1.3812,                0.03647,                0.10785,                0.02149,                0.00717,                 2.0599,                   3.79,                 1.3732,              0.0001502,              0.0001502,              0.0001502
                     12,                 1.6672,                 3.4014,                 1.4433,                0.07692,                0.24528,                0.05849,                 0.0184,                  1.983,                 3.7347,                 1.2956,              0.0001634,              0.0001634,              0.0001634
                     13,                 2.0709,                 3.3913,                 1.3691,                0.08824,                0.28302,                0.06909,                0.03445,                 1.7824,                 3.6584,                 1.1953,             0.00017628,             0.00017628,             0.00017628
                     14,                  1.389,                 3.2173,                 1.2846,                0.09884,                0.32075,                0.08112,                0.05187,                 1.5042,                  3.605,                 1.1092,             0.00018882,             0.00018882,             0.00018882
                     15,                 2.2094,                    3.1,                 1.3663,                0.06402,                0.19811,                0.04623,                0.03318,                 1.3549,                 3.5548,                 1.0603,             0.00020103,             0.00020103,             0.00020103
                     16,                 1.2439,                 3.0003,                 1.1903,                0.02649,                0.07547,                0.03182,                0.02135,                 1.1896,                 3.5015,                 1.0175,             0.00021292,             0.00021292,             0.00021292
                     17,                 1.9676,                 2.9189,                 1.2719,                0.00943,                 0.0283,                0.02572,                0.01389,                  1.108,                 3.4345,                0.98918,             0.00022447,             0.00022447,             0.00022447
