                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1821,                 1.4337,                0.99662,                 0.3497,                0.98837,                0.93048,                0.60215,                 1.2371,                 2.1443,                0.94261,               0.000376,               0.000376,               0.000376
                     36,                 1.3977,                 1.3437,                 1.0088,                 0.3497,                0.98837,                0.93048,                0.60215,                 1.2371,                 2.1443,                0.94261,             0.00038128,             0.00038128,             0.00038128
                     37,                 1.2638,                 1.3979,                 1.0461,                0.95678,                0.75422,                0.95592,                0.61567,                 1.2564,                 1.9324,                0.94103,             0.00038624,             0.00038624,             0.00038624
                     38,                 1.1329,                 1.2954,                 1.0263,                0.95678,                0.75422,                0.95592,                0.61567,                 1.2564,                 1.9324,                0.94103,             0.00039086,             0.00039086,             0.00039086
                     39,                  1.254,                  1.359,                 1.0018,                0.95385,                0.88768,                0.95816,                0.61986,                 1.2378,                 1.7205,                0.94284,             0.00039515,             0.00039515,             0.00039515
                     40,                 1.1833,                 1.3043,                 0.9807,                0.95385,                0.88768,                0.95816,                0.61986,                 1.2378,                 1.7205,                0.94284,             0.00039911,             0.00039911,             0.00039911
                     41,                 1.1936,                 1.2514,                0.99278,                0.93189,                0.90599,                0.96432,                0.63352,                 1.2064,                  1.488,                0.93762,             0.00040275,             0.00040275,             0.00040275
                     42,                 1.1849,                   1.18,                 1.0409,                0.93189,                0.90599,                0.96432,                0.63352,                 1.2064,                  1.488,                0.93762,             0.00040605,             0.00040605,             0.00040605
                     43,                 1.3619,                 1.3273,                 1.0119,                0.94389,                0.90341,                0.96658,                 0.6417,                 1.1967,                 1.3647,                 0.9359,             0.00040902,             0.00040902,             0.00040902
                     44,                 1.1035,                 1.0743,                0.95931,                0.94389,                0.90341,                0.96658,                 0.6417,                 1.1967,                 1.3647,                 0.9359,             0.00041166,             0.00041166,             0.00041166
                     45,                 1.2701,                 1.3354,                0.99275,                0.92913,                0.91997,                 0.9648,                0.64526,                 1.1878,                  1.293,                0.93493,             0.00041398,             0.00041398,             0.00041398
                     46,                  1.182,                  1.215,                 1.0118,                0.92913,                0.91997,                 0.9648,                0.64526,                 1.1878,                  1.293,                0.93493,             0.00041596,             0.00041596,             0.00041596
                     47,                 1.2085,                 1.2254,                0.96472,                0.92057,                0.91452,                0.96533,                0.63273,                 1.2054,                 1.2922,                0.93997,             0.00041761,             0.00041761,             0.00041761
                     48,                 1.1241,                0.98331,                0.97483,                0.92057,                0.91452,                0.96533,                0.63273,                 1.2054,                 1.2922,                0.93997,             0.00041893,             0.00041893,             0.00041893
                     49,                 1.1909,                 1.1241,                 1.0296,                0.91985,                 0.9246,                0.96626,                0.63794,                 1.1892,                  1.268,                0.93591,             0.00041992,             0.00041992,             0.00041992
                     50,                 1.3355,                 1.1589,                 1.1003,                0.91985,                 0.9246,                0.96626,                0.63794,                 1.1892,                  1.268,                0.93591,             0.00042059,             0.00042059,             0.00042059
                     51,                 1.2674,                 1.1146,                0.96677,                0.91746,                0.92242,                0.96032,                0.63318,                 1.1943,                 1.2699,                0.93829,             0.00042092,             0.00042092,             0.00042092
                     52,                 1.1795,                 1.2202,                0.99271,                0.91746,                0.92242,                0.96032,                0.63318,                 1.1943,                 1.2699,                0.93829,             0.00042092,             0.00042092,             0.00042092
                     53,                 1.3302,                 1.0917,                 1.0105,                0.91746,                0.92242,                0.96032,                0.63318,                 1.1943,                 1.2699,                0.93829,             0.00042059,             0.00042059,             0.00042059
                     54,                 1.1905,                 1.0171,                0.99266,                0.90445,                0.92996,                0.96155,                0.64215,                 1.1958,                 1.2293,                 0.9317,             0.00041993,             0.00041993,             0.00041993
                     55,                 1.2398,                 1.0733,                 1.0059,                0.90445,                0.92996,                0.96155,                0.64215,                 1.1958,                 1.2293,                 0.9317,             0.00041894,             0.00041894,             0.00041894
                     56,                   1.11,                0.97507,                 1.0071,                0.90445,                0.92996,                0.96155,                0.64215,                 1.1958,                 1.2293,                 0.9317,             0.00041763,             0.00041763,             0.00041763
                     57,                 1.0923,                  1.044,                0.96317,                0.90808,                0.94683,                0.96542,                0.65699,                  1.149,                   1.12,                0.92775,             0.00041598,             0.00041598,             0.00041598
                     58,                 1.0537,                0.95763,                0.97639,                0.90808,                0.94683,                0.96542,                0.65699,                  1.149,                   1.12,                0.92775,               0.000414,               0.000414,               0.000414
                     59,                 1.0939,                 1.0807,                0.96565,                0.90808,                0.94683,                0.96542,                0.65699,                  1.149,                   1.12,                0.92775,             0.00041169,             0.00041169,             0.00041169
                     60,                  1.013,                0.93674,                0.97208,                0.92113,                0.93295,                0.96883,                 0.6615,                 1.1456,                 1.0193,                0.93597,             0.00040905,             0.00040905,             0.00040905
                     61,                 1.0046,                0.89131,                0.96642,                0.92113,                0.93295,                0.96883,                 0.6615,                 1.1456,                 1.0193,                0.93597,             0.00040608,             0.00040608,             0.00040608
                     62,                 1.1282,                  1.085,                 1.0007,                0.92113,                0.93295,                0.96883,                 0.6615,                 1.1456,                 1.0193,                0.93597,             0.00040278,             0.00040278,             0.00040278
                     63,                  1.218,                0.92326,                0.97412,                0.91677,                0.94958,                0.97238,                0.66242,                 1.1338,                0.91731,                0.94852,             0.00039915,             0.00039915,             0.00039915
                     64,                 1.0896,                0.90875,                0.95352,                0.91677,                0.94958,                0.97238,                0.66242,                 1.1338,                0.91731,                0.94852,             0.00039519,             0.00039519,             0.00039519
                     65,                 1.1022,                0.89115,                0.99319,                0.91677,                0.94958,                0.97238,                0.66242,                 1.1338,                0.91731,                0.94852,              0.0003909,              0.0003909,              0.0003909
                     66,                 1.0476,                0.99599,                0.97952,                 0.9271,                0.97284,                 0.9816,                0.67166,                 1.1127,                0.84966,                0.94728,             0.00038629,             0.00038629,             0.00038629
                     67,                 1.1371,                  1.126,                 1.0037,                 0.9271,                0.97284,                 0.9816,                0.67166,                 1.1127,                0.84966,                0.94728,             0.00038134,             0.00038134,             0.00038134
                     68,                 1.1147,                0.99006,                0.98556,                 0.9271,                0.97284,                 0.9816,                0.67166,                 1.1127,                0.84966,                0.94728,             0.00037606,             0.00037606,             0.00037606
                     69,                 1.1989,                 1.0823,                0.95819,                0.94933,                  0.948,                0.98401,                0.68511,                  1.091,                0.83196,                0.94428,             0.00037045,             0.00037045,             0.00037045
                     70,                 1.1336,                0.94712,                0.97758,                0.94933,                  0.948,                0.98401,                0.68511,                  1.091,                0.83196,                0.94428,             0.00036451,             0.00036451,             0.00036451
                     71,                 1.1478,                0.95244,                 0.9552,                0.94933,                  0.948,                0.98401,                0.68511,                  1.091,                0.83196,                0.94428,             0.00035824,             0.00035824,             0.00035824
                     72,                 1.1919,                 1.0578,                0.97473,                0.92254,                 0.9769,                0.98295,                0.69002,                 1.0782,                0.83729,                0.93992,             0.00035164,             0.00035164,             0.00035164
                     73,                0.97667,                0.89667,                0.97275,                0.92254,                 0.9769,                0.98295,                0.69002,                 1.0782,                0.83729,                0.93992,             0.00034471,             0.00034471,             0.00034471
                     74,                 1.0285,                0.89226,                0.97572,                0.92254,                 0.9769,                0.98295,                0.69002,                 1.0782,                0.83729,                0.93992,             0.00033745,             0.00033745,             0.00033745
                     75,                 1.0244,                0.94017,                 1.0109,                0.92954,                0.97622,                0.98443,                0.68642,                 1.0662,                0.84242,                0.92934,             0.00032986,             0.00032986,             0.00032986
                     76,                 1.0554,                 1.0038,                 1.0038,                0.92954,                0.97622,                0.98443,                0.68642,                 1.0662,                0.84242,                0.92934,             0.00032194,             0.00032194,             0.00032194
                     77,                 1.0779,                0.88375,                0.96083,                0.92954,                0.97622,                0.98443,                0.68642,                 1.0662,                0.84242,                0.92934,             0.00031369,             0.00031369,             0.00031369
                     78,                 1.0404,                0.87179,                  0.984,                0.94261,                0.97555,                0.98477,                 0.6832,                 1.0674,                0.84028,                0.92462,             0.00030511,             0.00030511,             0.00030511
                     79,                 1.0077,                0.86841,                0.94264,                0.94261,                0.97555,                0.98477,                 0.6832,                 1.0674,                0.84028,                0.92462,              0.0002962,              0.0002962,              0.0002962
                     80,                0.97087,                0.86967,                0.97722,                0.94261,                0.97555,                0.98477,                 0.6832,                 1.0674,                0.84028,                0.92462,             0.00028696,             0.00028696,             0.00028696
                     81,                 1.0687,                0.87298,                0.96926,                0.95321,                0.97242,                0.98546,                0.68311,                 1.0746,                0.83541,                0.92463,             0.00027739,             0.00027739,             0.00027739
