                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96708,                0.99925,                      1,                 2.8254,              0.0033332,              0.0033332,              0.0033332
                      2,                0.17427,                0.99992,                      1,                  2.823,              0.0053465,              0.0053465,              0.0053465
                      3,                0.16219,                0.99991,                      1,                 2.8228,              0.0060399,              0.0060399,              0.0060399
                      4,                0.11763,                0.99994,                      1,                 2.8227,                0.00406,                0.00406,                0.00406
                      5,                0.09334,                0.99997,                      1,                 2.8226,                0.00406,                0.00406,                0.00406
