                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6051,                 3.7181,                 1.9522,                0.02222,                0.03261,                0.01464,                 0.0069,                 2.3419,                 3.3971,                 1.8362,                      0,                      0,                      0
                      2,                 2.5932,                 3.8499,                 1.8905,                0.04412,                0.04891,                0.03026,                0.01683,                  2.226,                 3.2731,                 1.7787,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 2.5087,                 3.5711,                 1.7886,                0.14661,                0.19189,                0.11391,                0.06031,                 2.0297,                 3.0006,                 1.7158,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                 2.3986,                 3.2032,                 1.6457,                0.29781,                0.59759,                0.27625,                 0.1419,                 1.7524,                 2.5581,                 1.6562,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                 1.9007,                 2.3105,                 1.4306,                0.60768,                0.49952,                 0.5836,                0.31306,                 1.4566,                 1.9585,                 1.6005,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                 1.4572,                 1.6142,                 1.2606,                0.61311,                0.57185,                0.64566,                0.38719,                 1.3402,                 1.5205,                 1.5162,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                 1.2389,                 1.2401,                 1.2276,                 0.8475,                0.55161,                0.72818,                0.44316,                 1.4015,                 1.7831,                 1.3791,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                 1.1973,                 1.0603,                 1.0917,                0.80849,                0.61496,                0.79002,                0.46022,                 1.4715,                 2.0494,                 1.2638,              0.0001086,              0.0001086,              0.0001086
                      9,                 1.1243,                0.97182,                 1.0707,                0.81266,                0.68478,                0.82852,                0.48075,                 1.5029,                 1.6547,                   1.21,              0.0001228,              0.0001228,              0.0001228
                     10,                 1.0965,                0.95308,                 1.0696,                0.76033,                0.75772,                0.85378,                0.56621,                 1.2898,                 1.3625,                 1.1581,             0.00013666,             0.00013666,             0.00013666
                     11,                 1.0539,                0.84874,                 1.0494,                0.78896,                  0.875,                0.90232,                0.60728,                 1.1257,                 1.2406,                  1.099,              0.0001502,              0.0001502,              0.0001502
                     12,                0.99078,                0.82851,                 1.0225,                0.86047,                0.94007,                0.95107,                0.62691,                 1.0206,                  1.061,                 1.0537,              0.0001634,              0.0001634,              0.0001634
                     13,                0.91795,                0.73106,                0.97325,                0.93314,                0.94565,                0.97193,                0.66909,                0.94512,                  1.261,                 1.0101,             0.00017628,             0.00017628,             0.00017628
                     14,                0.85139,                0.68883,                0.97404,                0.97386,                0.94374,                0.98089,                0.72999,                0.92678,                 1.1057,                0.97845,             0.00018882,             0.00018882,             0.00018882
                     15,                0.81071,                0.63347,                0.95393,                0.98131,                0.96196,                0.98603,                0.74901,                0.87533,                0.95233,                0.95782,             0.00020103,             0.00020103,             0.00020103
                     16,                0.83908,                0.60931,                0.96738,                0.98688,                 0.9837,                0.99202,                0.73543,                0.88869,                 1.0463,                0.94672,             0.00021292,             0.00021292,             0.00021292
                     17,                0.84186,                0.63959,                0.93922,                 0.9736,                0.98828,                 0.9939,                0.72624,                0.89756,                 1.0429,                0.94197,             0.00022447,             0.00022447,             0.00022447
                     18,                0.84418,                0.60821,                0.93551,                 0.9736,                0.98828,                 0.9939,                0.72624,                0.89756,                 1.0429,                0.94197,              0.0002357,              0.0002357,              0.0002357
                     19,                0.80683,                0.57521,                0.92051,                0.99359,                 0.9959,                0.99494,                0.73248,                0.87825,                0.88906,                0.94379,             0.00024659,             0.00024659,             0.00024659
                     20,                0.81569,                0.55586,                0.91593,                0.99359,                 0.9959,                0.99494,                0.73248,                0.87825,                0.88906,                0.94379,             0.00025715,             0.00025715,             0.00025715
                     21,                0.83941,                0.56393,                0.91651,                0.99761,                      1,                  0.995,                 0.7596,                0.89121,                0.77192,                0.94821,             0.00026739,             0.00026739,             0.00026739
                     22,                0.77858,                0.52943,                0.90565,                0.99761,                      1,                  0.995,                 0.7596,                0.89121,                0.77192,                0.94821,             0.00027729,             0.00027729,             0.00027729
                     23,                0.78091,                0.54602,                0.92041,                0.99834,                      1,                  0.995,                0.78612,                0.84007,                 0.7778,                0.93742,             0.00028686,             0.00028686,             0.00028686
                     24,                0.76747,                0.53775,                0.92415,                0.99834,                      1,                  0.995,                0.78612,                0.84007,                 0.7778,                0.93742,             0.00029611,             0.00029611,             0.00029611
                     25,                0.81672,                0.56389,                0.90871,                 0.9975,                      1,                  0.995,                0.77159,                0.87996,                0.70114,                0.93985,             0.00030502,             0.00030502,             0.00030502
